Year,Method,Rank,Team
2008,Method_1,1,30
2008,Method_1,2,94
2008,Method_1,3,48
2008,Method_1,4,14
2008,Method_1,5,106
2008,Method_1,6,114
2008,Method_1,7,52
2008,Method_1,8,84
2008,Method_1,9,99
2008,Method_1,10,15
2008,Method_1,11,22
2008,Method_1,12,103
2008,Method_1,13,29
2008,Method_1,14,10
2008,Method_1,15,82
2008,Method_1,16,93
2008,Method_1,17,38
2008,Method_1,18,81
2008,Method_1,19,3
2008,Method_1,20,25
2008,Method_1,21,88
2008,Method_1,22,80
2008,Method_1,23,96
2008,Method_1,24,95
2008,Method_1,25,49
2008,Method_1,26,2
2008,Method_1,27,85
2008,Method_1,28,40
2008,Method_1,29,5
2008,Method_1,30,26
2008,Method_1,31,69
2008,Method_1,32,27
2008,Method_1,33,107
2008,Method_1,34,58
2008,Method_1,35,54
2008,Method_1,36,28
2008,Method_1,37,79
2008,Method_1,38,46
2008,Method_1,39,72
2008,Method_1,40,101
2008,Method_1,41,42
2008,Method_1,42,113
2008,Method_1,43,98
2008,Method_1,44,8
2008,Method_1,45,90
2008,Method_1,46,73
2008,Method_1,47,16
2008,Method_1,48,32
2008,Method_1,49,56
2008,Method_1,50,60
2008,Method_1,51,97
2008,Method_1,52,66
2008,Method_1,53,50
2008,Method_1,54,0
2008,Method_1,55,41
2008,Method_1,56,43
2008,Method_1,57,36
2008,Method_1,58,71
2008,Method_1,59,91
2008,Method_1,60,100
2008,Method_1,61,20
2008,Method_1,62,6
2008,Method_1,63,78
2008,Method_1,64,108
2008,Method_1,65,24
2008,Method_1,66,74
2008,Method_1,67,83
2008,Method_1,68,11
2008,Method_1,69,4
2008,Method_1,70,67
2008,Method_1,71,59
2008,Method_1,72,104
2008,Method_1,73,12
2008,Method_1,74,111
2008,Method_1,75,37
2008,Method_1,76,61
2008,Method_1,77,39
2008,Method_1,78,64
2008,Method_1,79,1
2008,Method_1,80,68
2008,Method_1,81,110
2008,Method_1,82,105
2008,Method_1,83,77
2008,Method_1,84,19
2008,Method_1,85,7
2008,Method_1,86,51
2008,Method_1,87,35
2008,Method_1,88,18
2008,Method_1,89,65
2008,Method_1,90,34
2008,Method_1,91,102
2008,Method_1,92,47
2008,Method_1,93,44
2008,Method_1,94,57
2008,Method_1,95,63
2008,Method_1,96,31
2008,Method_1,97,53
2008,Method_1,98,23
2008,Method_1,99,55
2008,Method_1,100,70
2008,Method_1,101,33
2008,Method_1,102,76
2008,Method_1,103,112
2008,Method_1,104,87
2008,Method_1,105,86
2008,Method_1,106,13
2008,Method_1,107,89
2008,Method_1,108,21
2008,Method_1,109,45
2008,Method_1,110,9
2008,Method_1,111,75
2008,Method_1,112,62
2008,Method_1,113,109
2008,Method_1,114,92
2008,Method_1,115,17
2008,Method_2,1,30
2008,Method_2,2,48
2008,Method_2,3,94
2008,Method_2,4,99
2008,Method_2,5,52
2008,Method_2,6,14
2008,Method_2,7,93
2008,Method_2,8,15
2008,Method_2,9,114
2008,Method_2,10,103
2008,Method_2,11,84
2008,Method_2,12,85
2008,Method_2,13,106
2008,Method_2,14,38
2008,Method_2,15,54
2008,Method_2,16,40
2008,Method_2,17,96
2008,Method_2,18,5
2008,Method_2,19,107
2008,Method_2,20,2
2008,Method_2,21,22
2008,Method_2,22,82
2008,Method_2,23,16
2008,Method_2,24,58
2008,Method_2,25,10
2008,Method_2,26,26
2008,Method_2,27,29
2008,Method_2,28,49
2008,Method_2,29,98
2008,Method_2,30,88
2008,Method_2,31,3
2008,Method_2,32,81
2008,Method_2,33,25
